imf1,imf2,imf3,imf4,imf5,imf6,imf7,imf8,imf9,imf10,imf11,res,Temperature,humidity,Liquid,Wind Speed,holiday,power
-7.806437294,65.27958428,-134.5682835,60.32026391,6.99228333,-78.87503397,-19.12473351,6.482993749,-1.499904337,-33.64260092,-26.17704802,1132.963916,23.48244629,0.017271755,0.001855373,10.32894873,0,970.345
-34.90308402,64.04910064,-164.9479926,61.03635551,7.037645697,-79.08034153,-19.16199547,6.54125713,-1.528814249,-33.65215275,-26.17899647,1132.964518,23.39925537,0.017264742,0.001327038,10.68151714,0,912.1755
-3.903506891,31.15492361,-175.6112052,61.80607695,7.001078406,-79.14577685,-19.19721628,6.59961471,-1.557685765,-33.66167966,-26.18094327,1132.96512,23.34353027,0.017211463,0.001428127,10.87492379,0,900.2688
21.85229417,-14.68698975,-166.6036132,62.62968994,6.877909229,-79.06830414,-19.23038626,6.658066342,-1.586518734,-33.67118164,-26.18288841,1132.965722,23.23879395,0.017127667,0.002598763,10.51862016,0,889.9538
34.40693467,-52.11640648,-138.8130118,63.44974886,6.664443308,-78.84585046,-19.26149117,6.716611877,-1.615313003,-33.68065868,-26.18483189,1132.966325,23.07540283,0.017058544,0.001729012,9.733588918,0,893.6865
-14.17943266,-63.28183754,-94.31216756,64.19438598,6.358433199,-78.4777914,-19.29051563,6.77525117,-1.644068422,-33.69011076,-26.18677372,1132.966927,22.99508057,0.01702769,0.001485348,9.08727316,0,879.2323
-33.50500288,-45.99071199,-39.72558083,64.79173359,5.95952497,-77.96539608,-19.31744426,6.833984073,-1.672784836,-33.6995379,-26.18871388,1132.96753,24.2852417,0.017424239,0.002176285,11.39539342,0,932.4876
-12.22779209,-9.151401361,18.10621133,65.16992399,5.468474834,-77.31104376,-19.34226168,6.89281044,-1.701462096,-33.70894006,-26.19065239,1132.968133,26.18969116,0.018072706,0.00453949,12.872866,0,1048.972
11.4783939,31.29997333,72.58851113,65.25619399,4.887753226,-76.51793246,-19.36495251,6.951730122,-1.730100049,-33.71831726,-26.19258924,1132.968736,27.91665039,0.018454138,0.004291534,14.54802667,0,1167.9074
31.08459009,56.77365027,117.1266207,64.97365578,4.224193663,-75.58949864,-19.38550132,7.010742919,-1.758698543,-33.72766949,-26.19452442,1132.969339,29.17290649,0.018675314,0.00492096,15.08168788,0,1257.5069
0.787822105,55.35625669,146.3228627,64.24274852,3.487333727,-74.5292098,-19.40389212,7.069848086,-1.787257426,-33.73699672,-26.19645795,1132.969942,30.07064209,0.018820265,0.00743866,15.28723923,0,1254.583
-28.59629509,34.19871502,160.0488749,62.98494186,2.685685028,-73.34053796,-19.42010754,7.129043489,-1.815776546,-33.74629897,-26.19838982,1132.970546,30.63805542,0.018843113,0.009872437,15.28092683,0,1216.9004
-13.15723142,4.166874411,161.2915585,61.12879376,1.827381275,-72.02697058,-19.43412978,7.188326553,-1.844255752,-33.75557621,-26.20032003,1132.971149,30.88308105,0.018789586,0.01342392,15.03815734,0,1202.1556
20.40491995,-24.52752723,153.4772187,58.64469872,0.92066187,-70.59210667,-19.44594097,7.247694648,-1.872694891,-33.76482845,-26.20224857,1132.971753,30.82839355,0.018728623,0.016586304,14.69807932,0,1197.2616
23.61056273,-40.02124886,139.9652623,55.56997272,-0.025919427,-69.03988328,-19.45552324,7.307145136,-1.901093811,-33.77405567,-26.20417546,1132.972357,30.45739136,0.018713566,0.018455505,14.07604797,0,1169.0034
11.00051604,-40.66370629,123.8316875,51.95698835,-1.003479453,-67.37457272,-19.46285872,7.366675375,-1.929452361,-33.78325787,-26.20610068,1132.972961,29.77596436,0.018935008,0.018684387,12.47207795,0,1136.7054
-17.91930235,-26.05375138,106.6895293,47.85811824,-2.002925303,-65.60065709,-19.46792953,7.426282729,-1.957770389,-33.79243504,-26.20802424,1132.973565,28.47432861,0.019415718,0.024085999,9.446227274,0,1101.9447
-17.73434391,0.540599195,88.65455723,43.32573496,-3.015093643,-63.72268888,-19.4707178,7.485964553,-1.986047743,-33.80158718,-26.20994614,1132.974169,26.56948242,0.019148678,0.028442383,7.084643851,0,1107.0406
